request_id,job_id,department,preferred_date,preferred_window_start_min,minimum_duration_min,requested_duration_min,protection_type,deadline_day,priority,reason,provenance
R00006,J00006,TRD,0,120,60,60,NONE,0,URGENT,defect requiring early attention,D:synthesised_from_job
R00016,J00016,ENGG,0,540,61,150,T,0,URGENT,defect requiring early attention,D:synthesised_from_job
R00042,J00042,SNT,0,1380,60,120,TD,0,URGENT,defect requiring early attention,D:synthesised_from_job
R00122,J00122,ENGG,0,780,73,150,T,0,URGENT,defect requiring early attention,D:synthesised_from_job
R00156,J00156,TRD,0,180,60,120,TP,0,URGENT,defect requiring early attention,D:synthesised_from_job
R00172,J00172,ENGG,0,540,60,120,T,0,URGENT,defect requiring early attention,D:synthesised_from_job
R00015,J00015,SNT,0,0,60,120,TD,1,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00021,J00021,TRD,0,60,60,120,TP,1,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00031,J00031,SNT,1,0,98,240,TD,1,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00038,J00038,TRD,0,0,60,120,TP,1,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00041,J00041,SNT,1,1320,60,120,TD,1,HIGH,schedule due,D:synthesised_from_job
R00064,J00064,ENGG,1,600,66,150,T,1,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00066,J00066,SNT,1,60,60,120,TD,1,URGENT,defect requiring early attention,D:synthesised_from_job
R00070,J00070,SNT,0,1380,60,120,TD,1,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00079,J00079,ENGG,0,780,60,120,T,1,URGENT,defect requiring early attention,D:synthesised_from_job
R00097,J00097,TRD,0,240,60,120,TP,1,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00131,J00131,ENGG,0,660,60,120,T,1,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00153,J00153,SNT,0,180,60,120,TD,1,URGENT,defect requiring early attention,D:synthesised_from_job
R00174,J00174,ENGG,0,780,60,120,T,1,HIGH,schedule due,D:synthesised_from_job
R00018,J00018,ENGG,1,660,60,120,T,2,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00065,J00065,SNT,2,180,60,120,TD,2,HIGH,schedule due,D:synthesised_from_job
R00071,J00071,TRD,0,60,60,120,TP,2,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00076,J00076,TRD,2,60,60,60,NONE,2,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00080,J00080,SNT,2,60,60,120,TD,2,HIGH,schedule due,D:synthesised_from_job
R00099,J00099,SNT,0,180,60,30,NONE,2,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00100,J00100,ENGG,1,600,71,150,T,2,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00133,J00133,SNT,0,180,60,120,TD,2,URGENT,defect requiring early attention,D:synthesised_from_job
R00159,J00159,TRD,1,60,60,120,TP,2,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00169,J00169,SNT,1,60,60,120,TD,2,HIGH,schedule due,D:synthesised_from_job
R00008,J00008,TRD,3,0,60,120,TP,3,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00011,J00011,SNT,3,180,60,120,TD,3,URGENT,defect requiring early attention,D:synthesised_from_job
R00033,J00033,ENGG,3,600,60,120,T,3,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00125,J00125,ENGG,3,540,60,150,T,3,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00126,J00126,TRD,1,60,60,120,TP,3,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00128,J00128,TRD,3,0,60,120,TP,3,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00129,J00129,ENGG,2,540,60,150,T,3,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00139,J00139,ENGG,1,600,60,150,T,3,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00149,J00149,ENGG,1,660,86,150,T,3,HIGH,schedule due,D:synthesised_from_job
R00002,J00002,ENGG,3,720,60,120,T,4,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00014,J00014,ENGG,3,780,60,120,T,4,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00028,J00028,ENGG,2,780,60,120,T,4,HIGH,schedule due,D:synthesised_from_job
R00059,J00059,ENGG,2,660,60,120,T,4,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00063,J00063,ENGG,2,600,61,150,T,4,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00069,J00069,ENGG,2,720,60,120,T,4,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00081,J00081,TRD,2,60,60,120,TP,4,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00086,J00086,ENGG,4,660,197,240,T,4,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00140,J00140,ENGG,3,540,71,150,T,4,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00144,J00144,SNT,4,1380,60,120,TD,4,HIGH,schedule due,D:synthesised_from_job
R00168,J00168,TRD,3,120,60,120,TP,4,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00004,J00004,ENGG,3,600,60,120,T,5,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00022,J00022,SNT,4,120,60,30,NONE,5,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00029,J00029,ENGG,4,780,74,120,T,5,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00045,J00045,SNT,5,1320,60,120,TD,5,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00067,J00067,TRD,3,240,60,120,TP,5,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00077,J00077,TRD,5,180,60,60,NONE,5,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00093,J00093,TRD,5,60,60,120,TP,5,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00104,J00104,ENGG,5,540,60,150,T,5,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00113,J00113,ENGG,5,660,60,120,T,5,URGENT,defect requiring early attention,D:synthesised_from_job
R00155,J00155,SNT,4,180,60,120,TD,5,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00161,J00161,ENGG,4,600,66,150,T,5,HIGH,schedule due,D:synthesised_from_job
R00164,J00164,ENGG,5,720,60,120,T,5,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00009,J00009,TRD,6,0,60,60,NONE,6,NORMAL,planned periodic maintenance,D:synthesised_from_job
R00010,J00010,ENGG,6,780,70,150,T,6,NORMAL,planned periodic maintenance,D:synthesised_from_job
