realisation,job_id,actual_duration_min
0,J00006,25.4
0,J00016,76.8
0,J00042,51.3
0,J00122,66.0
0,J00156,69.7
0,J00172,48.8
0,J00015,42.2
0,J00021,60.9
0,J00031,78.3
0,J00038,27.6
0,J00041,61.2
0,J00064,63.0
0,J00066,50.3
0,J00070,23.0
0,J00079,51.6
0,J00097,25.0
0,J00131,42.1
0,J00153,31.5
0,J00174,71.2
0,J00018,55.9
0,J00065,23.5
0,J00071,37.2
0,J00076,29.1
0,J00080,33.2
0,J00099,25.2
0,J00100,79.7
0,J00133,42.2
0,J00159,33.4
0,J00169,52.9
0,J00008,40.6
0,J00011,31.5
0,J00033,32.5
0,J00125,34.1
0,J00126,44.6
0,J00128,34.9
0,J00129,52.0
0,J00139,54.7
0,J00149,70.6
0,J00002,64.1
0,J00014,48.1
0,J00028,36.8
0,J00059,46.5
0,J00063,71.1
0,J00069,48.6
0,J00081,63.7
0,J00086,182.0
0,J00140,66.1
0,J00144,33.2
0,J00168,26.8
0,J00004,35.5
0,J00022,18.0
0,J00029,67.8
0,J00045,28.8
0,J00067,45.7
0,J00077,32.9
0,J00093,29.5
0,J00104,30.0
0,J00113,36.2
0,J00155,30.7
0,J00161,69.8
0,J00164,27.6
0,J00009,29.2
0,J00010,56.6
0,J00020,63.3
0,J00027,52.0
0,J00047,60.9
0,J00055,16.7
0,J00061,20.8
0,J00075,47.4
0,J00088,41.0
0,J00089,44.6
0,J00095,52.8
0,J00120,51.2
0,J00124,72.8
0,J00150,105.6
0,J00152,40.7
0,J00163,53.7
0,J00165,28.9
0,J00166,59.5
0,J00167,39.1
0,J00013,63.9
0,J00024,69.6
0,J00044,31.3
0,J00046,62.8
0,J00058,38.8
0,J00114,49.5
0,J00121,32.8
0,J00136,45.2
0,J00142,41.3
0,J00147,53.7
0,J00158,27.8
0,J00171,26.4
0,J00030,42.5
0,J00053,67.1
0,J00054,35.0
0,J00072,31.7
0,J00091,56.2
0,J00103,44.6
0,J00105,25.0
0,J00106,58.4
0,J00110,19.1
0,J00123,58.6
0,J00157,40.7
0,J00017,59.8
0,J00023,73.0
0,J00032,77.4
0,J00039,23.3
0,J00052,79.6
0,J00060,43.9
0,J00108,56.0
0,J00130,49.4
0,J00145,50.6
0,J00154,36.2
0,J00160,17.0
0,J00175,58.5
0,J00036,67.5
0,J00096,26.4
0,J00102,30.1
0,J00111,19.7
0,J00001,47.2
0,J00003,36.1
0,J00019,27.2
0,J00026,35.9
0,J00037,45.0
0,J00048,36.6
0,J00049,39.6
0,J00050,37.5
0,J00051,41.8
0,J00082,32.5
0,J00117,26.8
0,J00119,70.2
0,J00127,83.1
0,J00132,41.7
0,J00135,44.5
0,J00146,28.8
0,J00148,41.3
0,J00005,25.9
0,J00025,44.3
0,J00034,68.4
0,J00040,58.2
0,J00073,25.0
0,J00084,37.1
0,J00090,26.4
0,J00092,43.0
0,J00098,23.5
0,J00107,39.4
0,J00109,46.7
0,J00116,35.7
0,J00137,33.1
0,J00143,33.3
0,J00170,59.6
0,J00012,28.2
0,J00056,40.0
0,J00074,41.1
0,J00078,99.8
0,J00094,36.4
0,J00101,39.8
0,J00112,24.3
0,J00115,41.0
0,J00173,61.4
0,J00007,51.4
0,J00035,27.1
0,J00043,51.3
0,J00057,39.7
0,J00062,65.4
0,J00068,67.7
0,J00083,25.1
0,J00085,38.4
0,J00087,27.8
0,J00118,30.0
0,J00134,24.1
0,J00138,34.4
0,J00141,28.3
0,J00151,33.6
0,J00162,35.1
1,J00006,33.0
1,J00016,82.2
1,J00042,34.5
1,J00122,66.0
1,J00156,52.3
1,J00172,52.2
1,J00015,45.8
1,J00021,58.3
1,J00031,82.0
1,J00038,43.4
1,J00041,29.7
1,J00064,57.0
1,J00066,59.5
1,J00070,20.0
1,J00079,58.0
1,J00097,56.2
1,J00131,48.7
1,J00153,53.3
1,J00174,92.2
1,J00018,34.3
1,J00065,20.0
1,J00071,52.9
1,J00076,46.1
1,J00080,48.0
1,J00099,17.5
1,J00100,94.1
1,J00133,32.4
1,J00159,28.7
1,J00169,34.9
1,J00008,24.7
1,J00011,35.7
1,J00033,29.1
1,J00125,45.8
1,J00126,48.4
1,J00128,42.2
1,J00129,34.3
1,J00139,57.6
1,J00149,86.9
1,J00002,48.2
1,J00014,25.9
1,J00028,39.5
1,J00059,46.2
1,J00063,47.0
1,J00069,37.6
1,J00081,39.5
1,J00086,169.3
1,J00140,69.6
1,J00144,29.9
1,J00168,25.6
1,J00004,36.9
1,J00022,24.0
1,J00029,74.6
1,J00045,21.8
1,J00067,47.4
1,J00077,35.7
1,J00093,17.9
1,J00104,40.6
1,J00113,45.7
1,J00155,48.7
1,J00161,62.6
1,J00164,41.0
1,J00009,27.1
1,J00010,74.1
1,J00020,71.3
1,J00027,74.9
1,J00047,87.5
1,J00055,17.8
1,J00061,20.2
1,J00075,42.5
1,J00088,41.5
1,J00089,20.0
1,J00095,48.1
1,J00120,36.7
1,J00124,61.2
1,J00150,55.7
1,J00152,29.5
1,J00163,51.7
1,J00165,34.1
1,J00166,57.3
1,J00167,39.9
1,J00013,85.5
1,J00024,90.3
1,J00044,28.5
1,J00046,45.0
1,J00058,73.0
1,J00114,40.2
1,J00121,37.2
1,J00136,27.8
1,J00142,51.8
1,J00147,54.8
1,J00158,56.0
1,J00171,41.3
1,J00030,43.9
1,J00053,21.6
1,J00054,46.3
1,J00072,31.8
1,J00091,81.3
1,J00103,53.8
1,J00105,25.0
1,J00106,50.5
1,J00110,18.1
1,J00123,58.5
1,J00157,31.1
1,J00017,64.8
1,J00023,86.9
