realisation,job_id,actual_duration_min,parent_job_id,provenance
0,J00001c0,24.0,J00001,D:lognormal_from_declared_pairing_rule
1,J00001c0,15.7,J00001,D:lognormal_from_declared_pairing_rule
2,J00001c0,33.8,J00001,D:lognormal_from_declared_pairing_rule
3,J00001c0,32.9,J00001,D:lognormal_from_declared_pairing_rule
4,J00001c0,34.7,J00001,D:lognormal_from_declared_pairing_rule
5,J00001c0,22.9,J00001,D:lognormal_from_declared_pairing_rule
6,J00001c0,14.5,J00001,D:lognormal_from_declared_pairing_rule
7,J00001c0,29.3,J00001,D:lognormal_from_declared_pairing_rule
8,J00001c0,20.6,J00001,D:lognormal_from_declared_pairing_rule
9,J00001c0,61.9,J00001,D:lognormal_from_declared_pairing_rule
10,J00001c0,22.4,J00001,D:lognormal_from_declared_pairing_rule
11,J00001c0,31.3,J00001,D:lognormal_from_declared_pairing_rule
12,J00001c0,18.4,J00001,D:lognormal_from_declared_pairing_rule
13,J00001c0,30.2,J00001,D:lognormal_from_declared_pairing_rule
14,J00001c0,21.5,J00001,D:lognormal_from_declared_pairing_rule
15,J00001c0,24.7,J00001,D:lognormal_from_declared_pairing_rule
16,J00001c0,35.0,J00001,D:lognormal_from_declared_pairing_rule
17,J00001c0,15.6,J00001,D:lognormal_from_declared_pairing_rule
18,J00001c0,35.2,J00001,D:lognormal_from_declared_pairing_rule
19,J00001c0,14.8,J00001,D:lognormal_from_declared_pairing_rule
20,J00001c0,37.0,J00001,D:lognormal_from_declared_pairing_rule
21,J00001c0,23.2,J00001,D:lognormal_from_declared_pairing_rule
22,J00001c0,29.4,J00001,D:lognormal_from_declared_pairing_rule
23,J00001c0,42.6,J00001,D:lognormal_from_declared_pairing_rule
24,J00001c0,24.4,J00001,D:lognormal_from_declared_pairing_rule
25,J00001c0,19.7,J00001,D:lognormal_from_declared_pairing_rule
26,J00001c0,26.6,J00001,D:lognormal_from_declared_pairing_rule
27,J00001c0,28.8,J00001,D:lognormal_from_declared_pairing_rule
28,J00001c0,23.7,J00001,D:lognormal_from_declared_pairing_rule
29,J00001c0,20.0,J00001,D:lognormal_from_declared_pairing_rule
0,J00001c1,11.7,J00001,D:lognormal_from_declared_pairing_rule
1,J00001c1,19.7,J00001,D:lognormal_from_declared_pairing_rule
2,J00001c1,20.1,J00001,D:lognormal_from_declared_pairing_rule
3,J00001c1,14.1,J00001,D:lognormal_from_declared_pairing_rule
4,J00001c1,12.6,J00001,D:lognormal_from_declared_pairing_rule
5,J00001c1,14.2,J00001,D:lognormal_from_declared_pairing_rule
6,J00001c1,16.0,J00001,D:lognormal_from_declared_pairing_rule
7,J00001c1,11.8,J00001,D:lognormal_from_declared_pairing_rule
8,J00001c1,10.8,J00001,D:lognormal_from_declared_pairing_rule
9,J00001c1,17.1,J00001,D:lognormal_from_declared_pairing_rule
10,J00001c1,11.6,J00001,D:lognormal_from_declared_pairing_rule
11,J00001c1,16.5,J00001,D:lognormal_from_declared_pairing_rule
12,J00001c1,16.0,J00001,D:lognormal_from_declared_pairing_rule
13,J00001c1,15.5,J00001,D:lognormal_from_declared_pairing_rule
14,J00001c1,9.8,J00001,D:lognormal_from_declared_pairing_rule
15,J00001c1,19.6,J00001,D:lognormal_from_declared_pairing_rule
16,J00001c1,13.2,J00001,D:lognormal_from_declared_pairing_rule
17,J00001c1,18.8,J00001,D:lognormal_from_declared_pairing_rule
18,J00001c1,15.6,J00001,D:lognormal_from_declared_pairing_rule
19,J00001c1,13.6,J00001,D:lognormal_from_declared_pairing_rule
20,J00001c1,8.9,J00001,D:lognormal_from_declared_pairing_rule
21,J00001c1,21.5,J00001,D:lognormal_from_declared_pairing_rule
22,J00001c1,14.8,J00001,D:lognormal_from_declared_pairing_rule
23,J00001c1,22.6,J00001,D:lognormal_from_declared_pairing_rule
24,J00001c1,11.4,J00001,D:lognormal_from_declared_pairing_rule
25,J00001c1,23.4,J00001,D:lognormal_from_declared_pairing_rule
26,J00001c1,10.8,J00001,D:lognormal_from_declared_pairing_rule
27,J00001c1,15.3,J00001,D:lognormal_from_declared_pairing_rule
28,J00001c1,16.0,J00001,D:lognormal_from_declared_pairing_rule
29,J00001c1,21.2,J00001,D:lognormal_from_declared_pairing_rule
0,J00010c0,25.0,J00010,D:lognormal_from_declared_pairing_rule
1,J00010c0,34.4,J00010,D:lognormal_from_declared_pairing_rule
2,J00010c0,17.1,J00010,D:lognormal_from_declared_pairing_rule
3,J00010c0,30.5,J00010,D:lognormal_from_declared_pairing_rule
4,J00010c0,43.2,J00010,D:lognormal_from_declared_pairing_rule
5,J00010c0,30.0,J00010,D:lognormal_from_declared_pairing_rule
6,J00010c0,16.4,J00010,D:lognormal_from_declared_pairing_rule
7,J00010c0,35.2,J00010,D:lognormal_from_declared_pairing_rule
8,J00010c0,25.4,J00010,D:lognormal_from_declared_pairing_rule
9,J00010c0,25.4,J00010,D:lognormal_from_declared_pairing_rule
10,J00010c0,23.7,J00010,D:lognormal_from_declared_pairing_rule
11,J00010c0,17.6,J00010,D:lognormal_from_declared_pairing_rule
12,J00010c0,34.8,J00010,D:lognormal_from_declared_pairing_rule
13,J00010c0,37.5,J00010,D:lognormal_from_declared_pairing_rule
14,J00010c0,31.9,J00010,D:lognormal_from_declared_pairing_rule
15,J00010c0,42.4,J00010,D:lognormal_from_declared_pairing_rule
16,J00010c0,29.6,J00010,D:lognormal_from_declared_pairing_rule
17,J00010c0,18.7,J00010,D:lognormal_from_declared_pairing_rule
18,J00010c0,25.3,J00010,D:lognormal_from_declared_pairing_rule
19,J00010c0,25.9,J00010,D:lognormal_from_declared_pairing_rule
20,J00010c0,41.8,J00010,D:lognormal_from_declared_pairing_rule
21,J00010c0,29.8,J00010,D:lognormal_from_declared_pairing_rule
22,J00010c0,31.5,J00010,D:lognormal_from_declared_pairing_rule
23,J00010c0,24.6,J00010,D:lognormal_from_declared_pairing_rule
24,J00010c0,33.0,J00010,D:lognormal_from_declared_pairing_rule
25,J00010c0,34.5,J00010,D:lognormal_from_declared_pairing_rule
26,J00010c0,27.2,J00010,D:lognormal_from_declared_pairing_rule
27,J00010c0,27.0,J00010,D:lognormal_from_declared_pairing_rule
28,J00010c0,18.3,J00010,D:lognormal_from_declared_pairing_rule
29,J00010c0,21.4,J00010,D:lognormal_from_declared_pairing_rule
0,J00010c1,15.9,J00010,D:lognormal_from_declared_pairing_rule
1,J00010c1,16.1,J00010,D:lognormal_from_declared_pairing_rule
2,J00010c1,19.3,J00010,D:lognormal_from_declared_pairing_rule
3,J00010c1,12.1,J00010,D:lognormal_from_declared_pairing_rule
4,J00010c1,23.3,J00010,D:lognormal_from_declared_pairing_rule
5,J00010c1,33.4,J00010,D:lognormal_from_declared_pairing_rule
6,J00010c1,24.5,J00010,D:lognormal_from_declared_pairing_rule
7,J00010c1,21.9,J00010,D:lognormal_from_declared_pairing_rule
8,J00010c1,60.1,J00010,D:lognormal_from_declared_pairing_rule
9,J00010c1,18.3,J00010,D:lognormal_from_declared_pairing_rule
10,J00010c1,13.5,J00010,D:lognormal_from_declared_pairing_rule
11,J00010c1,22.1,J00010,D:lognormal_from_declared_pairing_rule
12,J00010c1,17.1,J00010,D:lognormal_from_declared_pairing_rule
13,J00010c1,21.3,J00010,D:lognormal_from_declared_pairing_rule
