train_number,train_class,from_code,to_code,direction,enter_min,is_synthetic
56839,PASSENGER,JTJ,TPT,DN,920,False
56839,PASSENGER,TPT,KEY,DN,930,False
56839,PASSENGER,KEY,KNNT,DN,944,False
56839,PASSENGER,KNNT,SLY,DN,949,False
56839,PASSENGER,SLY,DST,DN,955,False
56839,PASSENGER,DST,DPI,DN,964,False
56839,PASSENGER,DPI,MAP,DN,973,False
56839,PASSENGER,MAP,TNGR,DN,982,False
56839,PASSENGER,TNGR,BDY,DN,989,False
56839,PASSENGER,BDY,BQI,DN,996,False
56839,PASSENGER,BQI,LCR,DN,1006,False
56839,PASSENGER,LCR,DSPT,DN,1015,False
56839,PASSENGER,DSPT,TNT,DN,1025,False
56839,PASSENGER,TNT,KPPR,DN,1032,False
56839,PASSENGER,KPPR,MGSJ,DN,1042,False
56839,PASSENGER,MGSJ,SA,DN,1057,False
56839,PASSENGER,SA,NEA,DN,1075,False
56839,PASSENGER,NEA,VRPD,DN,1081,False
56839,PASSENGER,VRPD,DC,DN,1086,False
56839,PASSENGER,DC,MVPM,DN,1100,False
56839,PASSENGER,MVPM,SGE,DN,1115,False
56839,PASSENGER,SGE,ANU,DN,1124,False
56839,PASSENGER,ANU,CV,DN,1135,False
56839,PASSENGER,CV,ED,DN,1145,False
16381,EXPRESS,JTJ,TPT,DN,1170,False
16381,EXPRESS,TPT,KEY,DN,1176,False
16381,EXPRESS,KEY,KNNT,DN,1184,False
16381,EXPRESS,KNNT,SLY,DN,1188,False
16381,EXPRESS,SLY,DST,DN,1193,False
16381,EXPRESS,DST,DPI,DN,1200,False
16381,EXPRESS,DPI,MAP,DN,1206,False
16381,EXPRESS,MAP,TNGR,DN,1211,False
16381,EXPRESS,TNGR,BDY,DN,1216,False
16381,EXPRESS,BDY,BQI,DN,1221,False
16381,EXPRESS,BQI,LCR,DN,1228,False
16381,EXPRESS,LCR,DSPT,DN,1236,False
16381,EXPRESS,DSPT,TNT,DN,1243,False
16381,EXPRESS,TNT,KPPR,DN,1249,False
16381,EXPRESS,KPPR,MGSJ,DN,1256,False
16381,EXPRESS,MGSJ,SA,DN,1259,False
16381,EXPRESS,SA,NEA,DN,1265,False
16381,EXPRESS,NEA,VRPD,DN,1272,False
16381,EXPRESS,VRPD,DC,DN,1275,False
16381,EXPRESS,DC,MVPM,DN,1286,False
16381,EXPRESS,MVPM,SGE,DN,1298,False
16381,EXPRESS,SGE,ANU,DN,1303,False
16381,EXPRESS,ANU,CV,DN,1311,False
16381,EXPRESS,CV,ED,DN,1320,False
16670,EXPRESS,CV,ED,UP,1260,False
16670,EXPRESS,ANU,CV,UP,1266,False
16670,EXPRESS,SGE,ANU,UP,1277,False
16670,EXPRESS,MVPM,SGE,UP,1285,False
16670,EXPRESS,DC,MVPM,UP,1289,False
16670,EXPRESS,VRPD,DC,UP,1298,False
16670,EXPRESS,NEA,VRPD,UP,1306,False
16670,EXPRESS,SA,NEA,UP,1308,False
