section_id,from_station_code,to_station_code,line,length_km,tracks,electrified,is_single,headway_min,degraded_factor,support_trains,track_source
JTJ-TPT-UP,JTJ,TPT,UP,7.471,2,1,0,4,2.5,108,declared
JTJ-TPT-DN,JTJ,TPT,DN,7.471,2,1,0,4,2.5,108,declared
TPT-MOLK-UP,TPT,MOLK,UP,4.193,2,1,0,8,2.5,18,declared
TPT-MOLK-DN,TPT,MOLK,DN,4.193,2,1,0,8,2.5,18,declared
MOLK-KEY-UP,MOLK,KEY,UP,7.206,2,1,0,4,2.5,18,declared
MOLK-KEY-DN,MOLK,KEY,DN,7.206,2,1,0,8,2.5,18,declared
KEY-KNNT-UP,KEY,KNNT,UP,6.157,2,1,0,4,2.5,108,declared
KEY-KNNT-DN,KEY,KNNT,DN,6.157,2,1,0,4,2.5,108,declared
KNNT-SLY-UP,KNNT,SLY,UP,5.828,2,1,0,4,2.5,108,declared
KNNT-SLY-DN,KNNT,SLY,DN,5.828,2,1,0,4,2.5,108,declared
SLY-DST-UP,SLY,DST,UP,8.66,2,1,0,4,2.5,108,declared
SLY-DST-DN,SLY,DST,DN,8.66,2,1,0,4,2.5,108,declared
DST-DPI-UP,DST,DPI,UP,8.222,2,1,0,4,2.5,108,declared
DST-DPI-DN,DST,DPI,DN,8.222,2,1,0,4,2.5,108,declared
DPI-MAP-UP,DPI,MAP,UP,7.325,2,1,0,4,2.5,108,declared
DPI-MAP-DN,DPI,MAP,DN,7.325,2,1,0,4,2.5,108,declared
MAP-TNGR-UP,MAP,TNGR,UP,6.233,2,1,0,4,2.5,108,declared
MAP-TNGR-DN,MAP,TNGR,DN,6.233,2,1,0,4,2.5,108,declared
TNGR-BDY-UP,TNGR,BDY,UP,6.742,2,1,0,4,2.5,108,declared
TNGR-BDY-DN,TNGR,BDY,DN,6.742,2,1,0,4,2.5,108,declared
BDY-BQI-UP,BDY,BQI,UP,10.18,2,1,0,4,2.5,108,declared
BDY-BQI-DN,BDY,BQI,DN,10.18,2,1,0,4,2.5,108,declared
BQI-LCR-UP,BQI,LCR,UP,10.443,2,1,0,5,2.5,108,declared
BQI-LCR-DN,BQI,LCR,DN,10.443,2,1,0,4,2.5,108,declared
LCR-DSPT-UP,LCR,DSPT,UP,8.893,2,1,0,4,2.5,108,declared
LCR-DSPT-DN,LCR,DSPT,DN,8.893,2,1,0,4,2.5,108,declared
DSPT-TNT-UP,DSPT,TNT,UP,6.957,2,1,0,4,2.5,108,declared
DSPT-TNT-DN,DSPT,TNT,DN,6.957,2,1,0,4,2.5,108,declared
TNT-KPPR-UP,TNT,KPPR,UP,10.202,2,1,0,4,2.5,108,declared
TNT-KPPR-DN,TNT,KPPR,DN,10.202,2,1,0,4,2.5,108,declared
KPPR-MGSJ-UP,KPPR,MGSJ,UP,3.282,2,1,0,4,2.5,108,declared
KPPR-MGSJ-DN,KPPR,MGSJ,DN,3.282,2,1,0,4,2.5,108,declared
MGSJ-SA-UP,MGSJ,SA,UP,3.42,2,1,0,7,2.5,108,declared
MGSJ-SA-DN,MGSJ,SA,DN,3.42,2,1,0,4,2.5,108,declared
SA-NEA-UP,SA,NEA,UP,7.043,2,1,0,4,2.5,108,declared
SA-NEA-DN,SA,NEA,DN,7.043,2,1,0,5,2.5,108,declared
NEA-VRPD-UP,NEA,VRPD,UP,3.085,2,1,0,4,2.5,108,declared
NEA-VRPD-DN,NEA,VRPD,DN,3.085,2,1,0,5,2.5,108,declared
VRPD-DVBH-UP,VRPD,DVBH,UP,4.532,2,1,0,8,2.5,18,declared
VRPD-DVBH-DN,VRPD,DVBH,DN,4.532,2,1,0,8,2.5,18,declared
DVBH-DC-UP,DVBH,DC,UP,6.669,2,1,0,6,2.5,18,declared
DVBH-DC-DN,DVBH,DC,DN,6.669,2,1,0,8,2.5,18,declared
DC-MVPM-UP,DC,MVPM,UP,12.789,2,1,0,8,2.5,108,declared
DC-MVPM-DN,DC,MVPM,DN,12.789,2,1,0,4,2.5,108,declared
MVPM-SGE-UP,MVPM,SGE,UP,5.19,2,1,0,4,2.5,108,declared
MVPM-SGE-DN,MVPM,SGE,DN,5.19,2,1,0,4,2.5,108,declared
SGE-ANU-UP,SGE,ANU,UP,7.991,2,1,0,4,2.5,108,declared
SGE-ANU-DN,SGE,ANU,DN,7.991,2,1,0,4,2.5,108,declared
ANU-CV-UP,ANU,CV,UP,8.51,2,1,0,8,2.5,108,declared
ANU-CV-DN,ANU,CV,DN,8.51,2,1,0,4,2.5,108,declared
CV-ED-UP,CV,ED,UP,4.778,2,1,0,8,2.5,108,declared
CV-ED-DN,CV,ED,DN,4.778,2,1,0,4,2.5,108,declared
