station_code,station_name,latitude,longitude,zone,state,seq,is_junction
JTJ,JOLARPETTAI,12.560852,78.57782,,,0,0
TPT,TIRUPATTUR JN,12.497951,78.561419,,,1,1
MOLK,MOLAKARAMPATTI,12.466956,78.541815,,,2,0
KEY,KAGANKARAI,12.412541,78.510114,,,3,0
KNNT,KUNNATHUR,12.360518,78.497376,,,4,0
SLY,SAMALPATTI,12.311594,78.484032,,,5,0
DST,DASAMPATTI,12.251026,78.438356,,,6,0
DPI,DODDAMPATTI,12.181346,78.42225,,,7,0
MAP,MORAPPUR,12.124073,78.393874,,,8,0
TNGR,THONGANUR,12.08227,78.358665,,,9,0
BDY,BUDDIREDDIPPATI,12.044659,78.312752,,,10,0
BQI,BOMMIDI,11.984698,78.246281,,,11,0
LCR,LOKUR,11.927787,78.174049,,,12,0
DSPT,DANISHPET,11.858919,78.138256,,,13,0
TNT,TINNAPPATTI,11.812422,78.098803,,,14,0
KPPR,KARUPPUR,11.724176,78.090379,,,15,0
MGSJ,MAGNESITE JN,11.696253,78.096286,,,16,1
SA,SALEM JN,11.671726,78.113415,,,17,1
NEA,NEYKKARAPATTI,11.612765,78.096697,,,18,0
VRPD,VIRAPANDY ROAD,11.59699,78.074581,,,19,0
DVBH,MAKUDAN VIRAPANDI BLOCK HUT,11.580796,78.037941,,,20,0
DC,MAGUDANCHAVADI,11.55092,77.987264,,,21,0
MVPM,MAVELIPALAIYAM,11.480914,77.899212,,,22,0
SGE,SANKARIDURG,11.445732,77.870439,,,23,0
ANU,ANANGUR,11.39694,77.820053,,,24,0
CV,KAVERI,11.351027,77.760945,,,25,0
ED,ERODE JN,11.327682,77.725934,,,26,1
