train_number,train_name,station_code,arrival_min,departure_min,day,stop_seq
56839,Jolarpettai Erode Passenger,JTJ,,920,1,0
56839,Jolarpettai Erode Passenger,TPT,928,930,1,1
56839,Jolarpettai Erode Passenger,KEY,943,944,1,2
56839,Jolarpettai Erode Passenger,KNNT,948,949,1,3
56839,Jolarpettai Erode Passenger,SLY,953,955,1,4
56839,Jolarpettai Erode Passenger,DST,963,964,1,5
56839,Jolarpettai Erode Passenger,DPI,972,973,1,6
56839,Jolarpettai Erode Passenger,MAP,981,982,1,7
56839,Jolarpettai Erode Passenger,TNGR,988,989,1,8
56839,Jolarpettai Erode Passenger,BDY,995,996,1,9
56839,Jolarpettai Erode Passenger,BQI,1005,1006,1,10
56839,Jolarpettai Erode Passenger,LCR,1014,1015,1,11
56839,Jolarpettai Erode Passenger,DSPT,1024,1025,1,12
56839,Jolarpettai Erode Passenger,TNT,1031,1032,1,13
56839,Jolarpettai Erode Passenger,KPPR,1041,1042,1,14
56839,Jolarpettai Erode Passenger,MGSJ,1057,1057,1,15
56839,Jolarpettai Erode Passenger,SA,1070,1075,1,16
56839,Jolarpettai Erode Passenger,NEA,1080,1081,1,17
56839,Jolarpettai Erode Passenger,VRPD,1085,1086,1,18
56839,Jolarpettai Erode Passenger,DC,1098,1100,1,19
56839,Jolarpettai Erode Passenger,MVPM,1114,1115,1,20
56839,Jolarpettai Erode Passenger,SGE,1122,1124,1,21
56839,Jolarpettai Erode Passenger,ANU,1133,1135,1,22
56839,Jolarpettai Erode Passenger,CV,1144,1145,1,23
56839,Jolarpettai Erode Passenger,ED,1175,,1,24
18190,Allapuzha Dhanbad Slip Express,ED,,,1,0
18190,Allapuzha Dhanbad Slip Express,CV,,,1,1
18190,Allapuzha Dhanbad Slip Express,ANU,,,1,2
18190,Allapuzha Dhanbad Slip Express,SGE,,,1,3
18190,Allapuzha Dhanbad Slip Express,MVPM,,,1,4
18190,Allapuzha Dhanbad Slip Express,DC,,,1,5
18190,Allapuzha Dhanbad Slip Express,DVBH,,,1,6
18190,Allapuzha Dhanbad Slip Express,VRPD,,,1,7
18190,Allapuzha Dhanbad Slip Express,NEA,,,1,8
18190,Allapuzha Dhanbad Slip Express,SA,,,1,9
18190,Allapuzha Dhanbad Slip Express,MGSJ,,,1,10
18190,Allapuzha Dhanbad Slip Express,KPPR,,,1,11
18190,Allapuzha Dhanbad Slip Express,TNT,,,1,12
18190,Allapuzha Dhanbad Slip Express,DSPT,,,1,13
18190,Allapuzha Dhanbad Slip Express,LCR,,,1,14
18190,Allapuzha Dhanbad Slip Express,BQI,,,1,15
18190,Allapuzha Dhanbad Slip Express,BDY,,,1,16
18190,Allapuzha Dhanbad Slip Express,TNGR,,,1,17
18190,Allapuzha Dhanbad Slip Express,MAP,,,1,18
18190,Allapuzha Dhanbad Slip Express,DPI,,,1,19
18190,Allapuzha Dhanbad Slip Express,DST,,,1,20
18190,Allapuzha Dhanbad Slip Express,SLY,,,1,21
18190,Allapuzha Dhanbad Slip Express,KNNT,,,1,22
18190,Allapuzha Dhanbad Slip Express,KEY,,,1,23
18190,Allapuzha Dhanbad Slip Express,MOLK,,,1,24
18190,Allapuzha Dhanbad Slip Express,TPT,,,1,25
18190,Allapuzha Dhanbad Slip Express,JTJ,,,1,26
16381,Mumbai CST - Kanyakumari Express,JTJ,1165,1170,2,0
16381,Mumbai CST - Kanyakumari Express,TPT,1176,1176,2,1
16381,Mumbai CST - Kanyakumari Express,KEY,1184,1184,2,2
16381,Mumbai CST - Kanyakumari Express,KNNT,1188,1188,2,3
16381,Mumbai CST - Kanyakumari Express,SLY,1193,1193,2,4
16381,Mumbai CST - Kanyakumari Express,DST,1200,1200,2,5
16381,Mumbai CST - Kanyakumari Express,DPI,1206,1206,2,6
16381,Mumbai CST - Kanyakumari Express,MAP,1211,1211,2,7
16381,Mumbai CST - Kanyakumari Express,TNGR,1216,1216,2,8
16381,Mumbai CST - Kanyakumari Express,BDY,1221,1221,2,9
16381,Mumbai CST - Kanyakumari Express,BQI,1228,1228,2,10
16381,Mumbai CST - Kanyakumari Express,LCR,1236,1236,2,11
16381,Mumbai CST - Kanyakumari Express,DSPT,1243,1243,2,12
16381,Mumbai CST - Kanyakumari Express,TNT,1249,1249,2,13
16381,Mumbai CST - Kanyakumari Express,KPPR,1256,1256,2,14
16381,Mumbai CST - Kanyakumari Express,MGSJ,1259,1259,2,15
16381,Mumbai CST - Kanyakumari Express,SA,1260,1265,2,16
16381,Mumbai CST - Kanyakumari Express,NEA,1272,1272,2,17
16381,Mumbai CST - Kanyakumari Express,VRPD,1275,1275,2,18
16381,Mumbai CST - Kanyakumari Express,DC,1286,1286,2,19
16381,Mumbai CST - Kanyakumari Express,MVPM,1298,1298,2,20
16381,Mumbai CST - Kanyakumari Express,SGE,1303,1303,2,21
16381,Mumbai CST - Kanyakumari Express,ANU,1311,1311,2,22
16381,Mumbai CST - Kanyakumari Express,CV,1320,1320,2,23
16381,Mumbai CST - Kanyakumari Express,ED,1325,1330,2,24
16670,Yercaud Express,ED,,1260,1,0
16670,Yercaud Express,CV,1266,1266,1,1
16670,Yercaud Express,ANU,1277,1277,1,2
16670,Yercaud Express,SGE,1284,1285,1,3
16670,Yercaud Express,MVPM,1289,1289,1,4
16670,Yercaud Express,DC,1298,1298,1,5
16670,Yercaud Express,VRPD,1306,1306,1,6
16670,Yercaud Express,NEA,1308,1308,1,7
16670,Yercaud Express,SA,1315,1320,1,8
16670,Yercaud Express,MGSJ,1323,1323,1,9
16670,Yercaud Express,KPPR,1325,1325,1,10
16670,Yercaud Express,TNT,1333,1333,1,11
16670,Yercaud Express,DSPT,1339,1339,1,12
16670,Yercaud Express,LCR,1346,1346,1,13
16670,Yercaud Express,BQI,1354,1355,1,14
16670,Yercaud Express,BDY,1364,1365,1,15
16670,Yercaud Express,TNGR,1369,1369,1,16
