train_number,train_name,train_class,is_synthetic,direction
56839,Jolarpettai Erode Passenger,PASSENGER,False,DN
18190,Allapuzha Dhanbad Slip Express,EXPRESS,False,UP
16381,Mumbai CST - Kanyakumari Express,EXPRESS,False,DN
16670,Yercaud Express,EXPRESS,False,UP
16321,Bangalore Tiruvananthapuram Weekly Express,EXPRESS,False,DN
19568,OKHA - TUTICORIN Exp,EXPRESS,False,DN
16787,TIRUNELVELI - KATRA Exp,EXPRESS,False,UP
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,EXPRESS,False,DN
17229,Sabari Express,EXPRESS,False,UP
12970,Jaipur-Coimbatore Express,EXPRESS,False,DN
12511,Rapti Sagar Express,EXPRESS,False,DN
12625,Kerala Express,EXPRESS,False,UP
12601,Chennai Mangalore Mail,MAIL,False,DN
16627,West Coast Express,EXPRESS,False,DN
12758,Coimbatore-Tirupati (Triweekly) SF Intercity Expre,SUPERFAST,False,UP
17230,Sabari Express,EXPRESS,False,DN
06012,Kollam Chennai Central (Weekly) SF Special,SUPERFAST,False,UP
16322,Tiruvananthapuram Bangalore Weekly Express,EXPRESS,False,UP
12679,ChennaiCentral-Coimbatore InterCity,EXPRESS,False,DN
06621,Coimbatore-Yesvantpur SF Special,SUPERFAST,False,UP
12685,Chennai - Mangalore Express,EXPRESS,False,DN
12686,Mangalore - Chennai Express,EXPRESS,False,UP
12681,Chennai-Coimbatore Express,EXPRESS,False,DN
16734,Okha-Rameswaram Express,EXPRESS,False,DN
12695,Chennai-Trivandrum SuperFast Express,SUPERFAST,False,DN
12787,Bilaspur Tirunelveli SF Express,SUPERFAST,False,DN
08569,Visakhapatnam-Kollam Sabarimalai Special,EXPRESS,False,DN
12696,Trivandrum-Chennai Superfast Express,SUPERFAST,False,UP
16325,Ahilyanagari Express,EXPRESS,False,DN
12676,Kovai Express,EXPRESS,False,UP
06006,Kollam-Chennai Central SF Special,SUPERFAST,False,UP
16628,West Coast Express,EXPRESS,False,UP
12671,Nilgiri (Blue Mountain) Express,EXPRESS,False,DN
12757,Tirupati-Coimbatore Intercity Express,EXPRESS,False,DN
