method,block_id,day,start_min,block_len,section_id,n_jobs,n_depts,modelled_reliability,observed_ontime_with_penalty,observed_reliability_with_penalty,mean_overrun_min_with_penalty,observed_ontime_without_penalty,observed_reliability_without_penalty,mean_overrun_min_without_penalty
"B0 Dept-wise, no reliability",C630,0,30,240,MOLK-KEY-DN,2,2,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C687,1,30,150,MOLK-KEY-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1209,0,600,240,SLY-DST-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1284,1,600,240,SLY-DST-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C1350,2,600,240,SLY-DST-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2028,0,570,150,DPI-MAP-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2148,0,570,240,MAP-TNGR-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2193,0,570,240,BDY-BQI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2271,1,570,240,BDY-BQI-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2397,0,540,240,BQI-LCR-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2421,1,540,240,BQI-LCR-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2538,0,540,150,LCR-DSPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2697,1,540,150,LCR-DSPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C2826,2,540,150,LCR-DSPT-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3018,0,540,150,TNT-KPPR-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3234,0,540,150,KPPR-MGSJ-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3570,0,690,150,MGSJ-SA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3627,1,690,150,MGSJ-SA-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3714,0,690,150,NEA-VRPD-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3789,0,360,240,DVBH-DC-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3840,1,360,240,DVBH-DC-UP,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C3918,0,0,240,DVBH-DC-DN,3,3,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C4014,0,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C4137,1,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C4152,2,480,150,DC-MVPM-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C4470,0,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C4605,1,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C4704,2,720,150,DC-MVPM-DN,1,1,1.0,30,1.0,0.0,30,1.0,0.0
"B0 Dept-wise, no reliability",C4776,0,480,150,MVPM-SGE-UP,1,1,1.0,30,1.0,0.0,30,1.0,0.0
