job_id,dept,activity,section_id,location_desc,km_from,km_to,needs_T,needs_P,needs_D,needs_train_movements,needs_live_ohe,duration_mean_min,duration_sd_min,duration_min_min,duration_max_min,min_block_min,resources,due_day,criticality,priority,uncertainty_level,provenance
J00016,ENGG,RAIL_RENEWAL,MOLK-KEY-DN,MOLK-KEY DN km 0.10,0.097,0.367,1,0,0,0,0,93.1,20.1,45.0,180.0,150,PQRS_0,-4,0.85,URGENT,MEDIUM,D:poisson_from_periodicity
J00023,TRD,DROPPER_WORK,KEY-KNNT-UP,KEY-KNNT UP km 1.06,1.06,1.376,1,1,0,0,0,41.3,8.3,18.0,70.0,120,TOWER_WAGON_1,-4,1.672,URGENT,MEDIUM,D:poisson_from_periodicity
J00033,SNT,TRACK_CIRCUIT_MAINTENANCE,KNNT-SLY-DN,KNNT-SLY DN km 2.50,2.503,2.672,1,0,1,0,0,36.6,12.6,20.0,80.0,120,SNT_GANG_1,-4,1.176,URGENT,HIGH,D:poisson_from_periodicity
J00037,ENGG,TRACK_GEOMETRY_CORRECTION,SLY-DST-UP,SLY-DST UP km 1.62,1.621,1.884,1,0,0,0,0,42.5,17.5,25.0,100.0,120,PWAY_GANG_2,-4,1.716,URGENT,HIGH,D:poisson_from_periodicity
J00137,ENGG,TRACK_GEOMETRY_CORRECTION,SA-NEA-UP,SA-NEA UP km 5.33,5.331,5.652,1,0,0,0,0,35.7,19.5,25.0,100.0,120,PWAY_GANG_0,-4,1.655,URGENT,HIGH,D:poisson_from_periodicity
J00169,ENGG,THROUGH_TAMPING,DC-MVPM-UP,DC-MVPM UP km 4.69,4.685,7.174,1,0,0,0,0,67.5,13.7,35.0,150.0,150,TAMPER_1,-4,1.023,URGENT,MEDIUM,D:poisson_from_periodicity
J00189,TRD,TRACTION_BONDING,SGE-ANU-UP,SGE-ANU UP km 3.32,3.317,3.521,1,0,0,0,0,21.5,8.0,12.0,50.0,120,TRD_GANG_0,-4,1.017,URGENT,HIGH,D:poisson_from_periodicity
J00198,ENGG,THROUGH_TAMPING,ANU-CV-DN,ANU-CV DN km 4.63,4.633,7.003,1,0,0,0,0,60.2,18.6,35.0,150.0,150,TAMPER_0,-4,1.453,URGENT,HIGH,D:poisson_from_periodicity
J00199,ENGG,THROUGH_TAMPING,ANU-CV-DN,ANU-CV DN km 4.42,4.419,7.793,1,0,0,0,0,66.4,15.4,35.0,150.0,150,TAMPER_0,-4,0.95,URGENT,MEDIUM,D:poisson_from_periodicity
J00203,TRD,DROPPER_WORK,ANU-CV-DN,ANU-CV DN km 7.68,7.679,7.835,1,1,0,0,0,31.3,7.6,18.0,70.0,120,TOWER_WAGON_0,-4,1.473,URGENT,MEDIUM,D:poisson_from_periodicity
J00020,ENGG,TURNOUT_TAMPING,KEY-KNNT-UP,KEY-KNNT UP km 2.18,2.176,2.517,1,0,0,0,0,62.9,19.9,30.0,130.0,150,TAMPER_0,-3,0.897,URGENT,HIGH,D:poisson_from_periodicity
J00034,SNT,SIGNALLING_CABLE_WORK,KNNT-SLY-DN,KNNT-SLY DN km 4.61,4.613,4.929,1,0,1,0,0,53.7,17.9,30.0,110.0,150,SNT_GANG_0,-3,1.085,URGENT,HIGH,D:poisson_from_periodicity
J00088,TRD,OHE_MEASUREMENT_UNDER_LOAD,BDY-BQI-DN,BDY-BQI DN km 4.56,4.556,4.856,0,0,0,0,1,28.4,9.7,18.0,65.0,0,TRD_GANG_0,-3,0.893,URGENT,HIGH,D:poisson_from_periodicity
