job_id,dept,activity,section_id,location_desc,km_from,km_to,needs_T,needs_P,needs_D,needs_train_movements,needs_live_ohe,duration_mean_min,duration_sd_min,duration_min_min,duration_max_min,min_block_min,resources,due_day,criticality,priority,uncertainty_level,provenance
J00012,SNT,TRACK_CIRCUIT_MAINTENANCE,TPT-MOLK-UP,TPT-MOLK UP km 1.24,1.237,1.68,1,0,1,0,0,36.2,6.8,20.0,80.0,120,SNT_GANG_2,-8,0.773,URGENT,MEDIUM,D:poisson_from_periodicity
J00034,ENGG,THROUGH_TAMPING,KEY-KNNT-UP,KEY-KNNT UP km 0.38,0.385,2.492,1,0,0,0,0,66.6,12.7,35.0,150.0,150,TAMPER_1,-8,0.7,URGENT,MEDIUM,D:poisson_from_periodicity
J00038,TRD,OHE_INSPECTION,KEY-KNNT-UP,KEY-KNNT UP km 0.39,0.392,5.934,1,1,0,0,0,34.2,12.8,25.0,100.0,120,TOWER_WAGON_1,-8,1.13,URGENT,HIGH,D:poisson_from_periodicity
J00040,TRD,OHE_INSPECTION,KEY-KNNT-UP,KEY-KNNT UP km 1.32,1.319,5.788,1,1,0,0,0,37.0,15.0,25.0,100.0,120,TOWER_WAGON_1,-8,0.97,URGENT,HIGH,D:poisson_from_periodicity
J00084,TRD,OHE_INSPECTION,DST-DPI-DN,DST-DPI DN km 2.33,2.332,4.991,1,1,0,0,0,45.9,9.7,25.0,100.0,120,TOWER_WAGON_1,-8,1.17,URGENT,MEDIUM,D:poisson_from_periodicity
J00091,ENGG,TRACK_GEOMETRY_CORRECTION,DPI-MAP-UP,DPI-MAP UP km 3.25,3.245,3.642,1,0,0,0,0,44.3,9.8,25.0,100.0,120,PWAY_GANG_1,-8,1.417,URGENT,MEDIUM,D:poisson_from_periodicity
J00097,TRD,DROPPER_WORK,DPI-MAP-UP,DPI-MAP UP km 1.74,1.736,2.074,1,1,0,0,0,23.9,6.1,18.0,70.0,120,TOWER_WAGON_1,-8,1.236,URGENT,MEDIUM,D:poisson_from_periodicity
J00128,TRD,OHE_INSPECTION,BDY-BQI-UP,BDY-BQI UP km 1.09,1.092,5.622,1,1,0,0,0,54.8,14.3,25.0,100.0,120,TOWER_WAGON_1,-8,1.563,URGENT,MEDIUM,D:poisson_from_periodicity
J00146,ENGG,TRACK_GEOMETRY_CORRECTION,BQI-LCR-UP,BQI-LCR UP km 2.04,2.035,2.59,1,0,0,0,0,57.1,10.8,25.0,100.0,120,PWAY_GANG_2,-8,1.145,URGENT,MEDIUM,D:poisson_from_periodicity
J00160,SNT,TRACK_CIRCUIT_MAINTENANCE,LCR-DSPT-UP,LCR-DSPT UP km 4.33,4.326,4.468,1,0,1,0,0,37.0,8.4,20.0,80.0,120,SNT_GANG_1,-8,1.37,URGENT,MEDIUM,D:poisson_from_periodicity
J00211,SNT,SIGNAL_EQUIPMENT_MAINTENANCE,KPPR-MGSJ-DN,KPPR-MGSJ DN km 3.16,3.162,3.211,1,0,1,0,0,42.8,7.7,20.0,90.0,120,SNT_GANG_2,-8,1.456,URGENT,MEDIUM,D:poisson_from_periodicity
J00218,ENGG,THROUGH_TAMPING,MGSJ-SA-DN,MGSJ-SA DN km 0.27,0.269,2.833,1,0,0,0,0,67.6,13.7,35.0,150.0,150,TAMPER_0,-8,1.62,URGENT,MEDIUM,D:poisson_from_periodicity
J00243,SNT,SIGNAL_EQUIPMENT_MAINTENANCE,SA-NEA-DN,SA-NEA DN km 2.97,2.971,3.044,1,0,1,0,0,37.6,9.2,20.0,90.0,120,SNT_GANG_1,-8,1.852,URGENT,MEDIUM,D:poisson_from_periodicity
J00300,ENGG,THROUGH_TAMPING,SGE-ANU-UP,SGE-ANU UP km 2.00,1.997,5.213,1,0,0,0,0,70.3,13.9,35.0,150.0,150,TAMPER_1,-8,1.399,URGENT,MEDIUM,D:poisson_from_periodicity
J00312,ENGG,TRACK_GEOMETRY_CORRECTION,ANU-CV-UP,ANU-CV UP km 6.33,6.329,7.081,1,0,0,0,0,57.9,14.3,25.0,100.0,120,PWAY_GANG_3,-8,1.061,URGENT,MEDIUM,D:poisson_from_periodicity
J00329,SNT,SIGNAL_EQUIPMENT_MAINTENANCE,CV-ED-UP,CV-ED UP km 2.31,2.313,2.629,1,0,1,0,0,33.8,7.9,20.0,90.0,120,SNT_GANG_0,-8,1.591,URGENT,MEDIUM,D:poisson_from_periodicity
J00007,SNT,TRACK_CIRCUIT_SHUNT_CHECK,JTJ-TPT-UP,JTJ-TPT UP km 5.62,5.617,5.745,0,0,0,1,0,25.3,6.3,15.0,55.0,0,SNT_GANG_1,-7,1.079,URGENT,MEDIUM,D:poisson_from_periodicity
J00018,SNT,SIGNAL_EQUIPMENT_MAINTENANCE,TPT-MOLK-DN,TPT-MOLK DN km 1.05,1.052,1.237,1,0,1,0,0,34.6,8.2,20.0,90.0,120,SNT_GANG_0,-7,1.978,URGENT,MEDIUM,D:poisson_from_periodicity
J00051,SNT,SIGNAL_EQUIPMENT_MAINTENANCE,KNNT-SLY-UP,KNNT-SLY UP km 1.92,1.921,1.999,1,0,1,0,0,38.4,8.5,20.0,90.0,120,SNT_GANG_2,-7,1.283,URGENT,MEDIUM,D:poisson_from_periodicity
J00080,ENGG,TRACK_GEOMETRY_CORRECTION,DST-DPI-DN,DST-DPI DN km 0.94,0.938,1.719,1,0,0,0,0,45.8,13.3,25.0,100.0,120,PWAY_GANG_0,-7,1.218,URGENT,HIGH,D:poisson_from_periodicity
J00102,ENGG,THROUGH_TAMPING,MAP-TNGR-UP,MAP-TNGR UP km 1.86,1.857,4.063,1,0,0,0,0,62.3,12.8,35.0,150.0,150,TAMPER_0,-7,1.562,URGENT,MEDIUM,D:poisson_from_periodicity
J00124,TRD,OHE_MEASUREMENT_UNDER_LOAD,TNGR-BDY-DN,TNGR-BDY DN km 1.33,1.334,1.633,0,0,0,0,1,28.2,6.2,18.0,65.0,0,TRD_GANG_0,-7,0.67,URGENT,MEDIUM,D:poisson_from_periodicity
J00125,ENGG,TRACK_GEOMETRY_CORRECTION,BDY-BQI-UP,BDY-BQI UP km 9.06,9.062,9.494,1,0,0,0,0,31.4,10.2,25.0,100.0,120,PWAY_GANG_0,-7,0.6,URGENT,HIGH,D:poisson_from_periodicity
J00141,ENGG,THROUGH_TAMPING,BQI-LCR-UP,BQI-LCR UP km 6.06,6.063,9.242,1,0,0,0,0,67.6,12.5,35.0,150.0,150,TAMPER_1,-7,1.256,URGENT,MEDIUM,D:poisson_from_periodicity
J00145,ENGG,TRACK_GEOMETRY_CORRECTION,BQI-LCR-UP,BQI-LCR UP km 7.91,7.906,8.211,1,0,0,0,0,39.5,14.6,25.0,100.0,120,PWAY_GANG_0,-7,1.643,URGENT,HIGH,D:poisson_from_periodicity
J00173,ENGG,TURNOUT_TAMPING,LCR-DSPT-DN,LCR-DSPT DN km 6.52,6.518,6.834,1,0,0,0,0,54.4,16.1,30.0,130.0,150,TAMPER_0,-7,2.034,URGENT,HIGH,D:poisson_from_periodicity
J00202,TRD,DROPPER_WORK,TNT-KPPR-DN,TNT-KPPR DN km 4.21,4.213,4.318,1,1,0,0,0,33.6,6.1,18.0,70.0,120,TOWER_WAGON_1,-7,0.76,URGENT,MEDIUM,D:poisson_from_periodicity
J00203,TRD,TRACTION_BONDING,TNT-KPPR-DN,TNT-KPPR DN km 3.13,3.125,3.317,1,0,0,0,0,18.1,6.8,12.0,50.0,120,TRD_GANG_1,-7,1.217,URGENT,HIGH,D:poisson_from_periodicity
J00220,ENGG,TURNOUT_TAMPING,MGSJ-SA-DN,MGSJ-SA DN km 0.11,0.106,0.431,1,0,0,0,0,52.7,16.2,30.0,130.0,150,TAMPER_1,-7,2.16,URGENT,HIGH,D:poisson_from_periodicity
J00225,ENGG,THROUGH_TAMPING,SA-NEA-UP,SA-NEA UP km 4.35,4.345,6.532,1,0,0,0,0,68.4,11.3,35.0,150.0,150,TAMPER_0,-7,1.117,URGENT,MEDIUM,D:poisson_from_periodicity
J00233,SNT,TRACK_CIRCUIT_MAINTENANCE,SA-NEA-UP,SA-NEA UP km 0.86,0.864,1.079,1,0,1,0,0,34.8,8.2,20.0,80.0,120,SNT_GANG_2,-7,0.921,URGENT,MEDIUM,D:poisson_from_periodicity
J00240,ENGG,RAIL_RENEWAL,SA-NEA-DN,SA-NEA DN km 3.74,3.739,4.264,1,0,0,0,0,63.6,19.1,45.0,180.0,150,PQRS_0,-7,1.706,URGENT,HIGH,D:poisson_from_periodicity
J00242,SNT,TRACK_CIRCUIT_MAINTENANCE,SA-NEA-DN,SA-NEA DN km 0.44,0.44,0.855,1,0,1,0,0,46.6,9.4,20.0,80.0,120,SNT_GANG_0,-7,1.016,URGENT,MEDIUM,D:poisson_from_periodicity
J00261,ENGG,TRACK_GEOMETRY_CORRECTION,DVBH-DC-UP,DVBH-DC UP km 0.26,0.258,0.671,1,0,0,0,0,55.9,13.1,25.0,100.0,120,PWAY_GANG_3,-7,1.237,URGENT,MEDIUM,D:poisson_from_periodicity
J00282,ENGG,THROUGH_TAMPING,DC-MVPM-DN,DC-MVPM DN km 0.77,0.77,2.936,1,0,0,0,0,72.2,12.0,35.0,150.0,150,TAMPER_1,-7,1.54,URGENT,MEDIUM,D:poisson_from_periodicity
J00311,ENGG,TRACK_GEOMETRY_CORRECTION,ANU-CV-UP,ANU-CV UP km 3.33,3.329,3.714,1,0,0,0,0,38.0,13.6,25.0,100.0,120,PWAY_GANG_1,-7,1.1,URGENT,HIGH,D:poisson_from_periodicity
J00319,ENGG,TRACK_GEOMETRY_CORRECTION,ANU-CV-DN,ANU-CV DN km 2.44,2.44,2.905,1,0,0,0,0,47.3,15.0,25.0,100.0,120,PWAY_GANG_0,-7,1.458,URGENT,HIGH,D:poisson_from_periodicity
J00321,TRD,INSULATOR_REPLACEMENT,ANU-CV-DN,ANU-CV DN km 8.07,8.066,8.212,1,1,0,0,0,40.4,10.1,25.0,90.0,120,TOWER_WAGON_1,-7,1.084,URGENT,MEDIUM,D:poisson_from_periodicity
J00023,ENGG,DEEP_SCREENING,MOLK-KEY-UP,MOLK-KEY UP km 5.20,5.196,5.942,1,0,0,0,0,129.0,34.6,90.0,300.0,240,BCM_0,-6,1.079,URGENT,MEDIUM,D:poisson_from_periodicity
J00065,ENGG,THROUGH_TAMPING,SLY-DST-DN,SLY-DST DN km 0.90,0.898,6.553,1,0,0,0,0,54.1,11.7,35.0,150.0,150,TAMPER_0,-6,1.334,URGENT,MEDIUM,D:poisson_from_periodicity
J00067,ENGG,TRACK_GEOMETRY_CORRECTION,SLY-DST-DN,SLY-DST DN km 7.47,7.474,7.968,1,0,0,0,0,57.0,10.3,25.0,100.0,120,PWAY_GANG_1,-6,0.869,URGENT,MEDIUM,D:poisson_from_periodicity
J00093,TRD,OHE_INSPECTION,DPI-MAP-UP,DPI-MAP UP km 0.67,0.673,3.926,1,1,0,0,0,44.8,10.5,25.0,100.0,120,TOWER_WAGON_1,-6,0.914,URGENT,MEDIUM,D:poisson_from_periodicity
J00094,TRD,OHE_INSPECTION,DPI-MAP-UP,DPI-MAP UP km 1.29,1.288,4.262,1,1,0,0,0,36.4,11.8,25.0,100.0,120,TOWER_WAGON_1,-6,1.059,URGENT,HIGH,D:poisson_from_periodicity
J00109,SNT,POINT_MACHINE_OVERHAUL,MAP-TNGR-DN,MAP-TNGR DN km 4.48,4.483,4.699,1,0,1,0,0,43.7,11.4,25.0,100.0,120,SNT_GANG_1,-6,1.18,URGENT,MEDIUM,D:poisson_from_periodicity
J00138,SNT,TRACK_CIRCUIT_MAINTENANCE,BDY-BQI-DN,BDY-BQI DN km 6.66,6.655,6.877,1,0,1,0,0,34.7,8.6,20.0,80.0,120,SNT_GANG_0,-6,1.366,URGENT,MEDIUM,D:poisson_from_periodicity
J00260,TRD,DROPPER_WORK,VRPD-DVBH-DN,VRPD-DVBH DN km 1.22,1.225,1.59,1,1,0,0,0,33.8,7.2,18.0,70.0,120,TOWER_WAGON_1,-6,0.6,URGENT,MEDIUM,D:poisson_from_periodicity
J00297,ENGG,WELDING_REPAIR,MVPM-SGE-DN,MVPM-SGE DN km 0.77,0.766,0.821,1,0,0,0,0,50.1,16.5,30.0,120.0,120,PWAY_GANG_1,-6,1.826,URGENT,HIGH,D:poisson_from_periodicity
J00298,SNT,TRACK_CIRCUIT_MAINTENANCE,MVPM-SGE-DN,MVPM-SGE DN km 4.97,4.969,5.187,1,0,1,0,0,34.5,7.0,20.0,80.0,120,SNT_GANG_2,-6,0.855,URGENT,MEDIUM,D:poisson_from_periodicity
J00304,ENGG,THROUGH_TAMPING,SGE-ANU-DN,SGE-ANU DN km 2.49,2.486,6.062,1,0,0,0,0,57.2,13.1,35.0,150.0,150,TAMPER_0,-6,1.704,URGENT,MEDIUM,D:poisson_from_periodicity
J00337,SNT,SIGNAL_EQUIPMENT_MAINTENANCE,CV-ED-DN,CV-ED DN km 0.12,0.121,0.166,1,0,1,0,0,47.1,7.5,20.0,90.0,120,SNT_GANG_2,-6,1.23,URGENT,MEDIUM,D:poisson_from_periodicity
J00013,SNT,TRACK_CIRCUIT_MAINTENANCE,TPT-MOLK-UP,TPT-MOLK UP km 2.31,2.314,2.525,1,0,1,0,0,29.7,8.5,20.0,80.0,120,SNT_GANG_0,-5,1.039,URGENT,HIGH,D:poisson_from_periodicity
J00017,SNT,SIGNAL_EQUIPMENT_MAINTENANCE,TPT-MOLK-DN,TPT-MOLK DN km 1.29,1.292,1.395,1,0,1,0,0,40.7,9.9,20.0,90.0,120,SNT_GANG_2,-5,1.787,URGENT,MEDIUM,D:poisson_from_periodicity
