job_id,dept,activity,section_id,location_desc,km_from,km_to,needs_T,needs_P,needs_D,needs_train_movements,needs_live_ohe,duration_mean_min,duration_sd_min,duration_min_min,duration_max_min,min_block_min,resources,due_day,criticality,priority,uncertainty_level,provenance
J00016,SNT,TRACK_CIRCUIT_SHUNT_CHECK,TPT-MOLK-DN,TPT-MOLK DN km 3.57,3.566,3.768,0,0,0,1,0,25.7,5.7,15.0,55.0,0,SNT_GANG_2,-3,0.808,URGENT,MEDIUM,D:poisson_from_periodicity
J00017,SNT,TRACK_CIRCUIT_SHUNT_CHECK,TPT-MOLK-DN,TPT-MOLK DN km 0.37,0.372,0.627,0,0,0,1,0,29.8,5.5,15.0,55.0,0,SNT_GANG_2,-3,0.592,URGENT,MEDIUM,D:poisson_from_periodicity
J00032,ENGG,WELDING_REPAIR,KNNT-SLY-DN,KNNT-SLY DN km 3.54,3.542,3.81,1,0,0,0,0,41.5,16.0,30.0,120.0,120,PWAY_GANG_2,-3,1.951,URGENT,HIGH,D:poisson_from_periodicity
J00034,SNT,SIGNALLING_CABLE_WORK,KNNT-SLY-DN,KNNT-SLY DN km 4.61,4.613,4.929,1,0,1,0,0,53.7,13.7,30.0,110.0,150,SNT_GANG_1,-3,1.345,URGENT,MEDIUM,D:poisson_from_periodicity
J00094,ENGG,TRACK_GEOMETRY_CORRECTION,BQI-LCR-DN,BQI-LCR DN km 9.30,9.299,9.677,1,0,0,0,0,39.3,14.9,25.0,100.0,120,PWAY_GANG_2,-3,1.139,URGENT,HIGH,D:poisson_from_periodicity
J00161,ENGG,TURNOUT_TAMPING,SA-NEA-DN,SA-NEA DN km 5.50,5.498,5.895,1,0,0,0,0,51.0,16.1,30.0,130.0,150,TAMPER_1,-3,1.564,URGENT,HIGH,D:poisson_from_periodicity
J00184,ENGG,THROUGH_TAMPING,DC-MVPM-UP,DC-MVPM UP km 10.47,10.473,12.554,1,0,0,0,0,68.8,10.3,35.0,150.0,150,TAMPER_1,-3,1.456,URGENT,LOW,D:poisson_from_periodicity
J00215,ENGG,TRACK_GEOMETRY_CORRECTION,ANU-CV-UP,ANU-CV UP km 7.93,7.927,8.407,1,0,0,0,0,49.8,13.6,25.0,100.0,120,PWAY_GANG_3,-3,1.453,URGENT,MEDIUM,D:poisson_from_periodicity
J00227,ENGG,WELDING_REPAIR,CV-ED-UP,CV-ED UP km 3.02,3.022,3.095,1,0,0,0,0,62.4,14.8,30.0,120.0,120,PWAY_GANG_1,-3,1.025,URGENT,MEDIUM,D:poisson_from_periodicity
J00028,ENGG,WELDING_REPAIR,KNNT-SLY-UP,KNNT-SLY UP km 4.42,4.418,4.601,1,0,0,0,0,49.6,18.4,30.0,120.0,120,PWAY_GANG_1,-2,1.322,URGENT,HIGH,D:poisson_from_periodicity
