job_id,dept,activity,section_id,location_desc,km_from,km_to,needs_T,needs_P,needs_D,needs_train_movements,needs_live_ohe,duration_mean_min,duration_sd_min,duration_min_min,duration_max_min,min_block_min,resources,due_day,criticality,priority,uncertainty_level,provenance
J00006,TRD,OHE_MEASUREMENT_UNDER_LOAD,JTJ-TPT-UP,JTJ-TPT UP km 5.62,5.621,5.892,0,0,0,0,1,28.2,7.4,18.0,65.0,0,TRD_GANG_0,0,1.099,URGENT,MEDIUM,D:poisson_from_periodicity
J00016,ENGG,THROUGH_TAMPING,KEY-KNNT-UP,KEY-KNNT UP km 0.54,0.539,2.586,1,0,0,0,0,61.9,11.2,35.0,150.0,150,TAMPER_1,0,1.751,URGENT,MEDIUM,D:poisson_from_periodicity
J00042,SNT,POINT_MACHINE_OVERHAUL,DST-DPI-DN,DST-DPI DN km 4.19,4.193,4.429,1,0,1,0,0,48.2,8.7,25.0,100.0,120,SNT_GANG_2,0,2.204,URGENT,MEDIUM,D:poisson_from_periodicity
J00122,ENGG,THROUGH_TAMPING,DVBH-DC-UP,DVBH-DC UP km 0.96,0.961,4.045,1,0,0,0,0,73.4,14.7,35.0,150.0,150,TAMPER_1,0,0.777,URGENT,MEDIUM,D:poisson_from_periodicity
J00156,TRD,OHE_INSPECTION,SGE-ANU-DN,SGE-ANU DN km 2.96,2.962,7.467,1,1,0,0,0,52.2,12.9,25.0,100.0,120,TOWER_WAGON_1,0,0.931,URGENT,MEDIUM,D:poisson_from_periodicity
J00172,ENGG,TRACK_GEOMETRY_CORRECTION,CV-ED-DN,CV-ED DN km 1.38,1.381,1.769,1,0,0,0,0,47.5,13.7,25.0,100.0,120,PWAY_GANG_1,0,1.389,URGENT,HIGH,D:poisson_from_periodicity
J00015,SNT,SIGNAL_EQUIPMENT_MAINTENANCE,MOLK-KEY-DN,MOLK-KEY DN km 5.56,5.556,5.615,1,0,1,0,0,38.0,9.2,20.0,90.0,120,SNT_GANG_2,1,1.343,NORMAL,MEDIUM,D:poisson_from_periodicity
J00021,TRD,OHE_INSPECTION,KEY-KNNT-DN,KEY-KNNT DN km 0.61,0.607,4.33,1,1,0,0,0,55.0,11.8,25.0,100.0,120,TOWER_WAGON_0,1,0.89,NORMAL,MEDIUM,D:poisson_from_periodicity
J00031,SNT,INTERLOCKING_ALTERATION,SLY-DST-UP,SLY-DST UP km 7.10,7.103,7.276,1,0,1,0,0,98.2,31.2,50.0,200.0,240,SNT_GANG_0,1,1.252,NORMAL,HIGH,D:poisson_from_periodicity
J00038,TRD,OHE_INSPECTION,DST-DPI-UP,DST-DPI UP km 1.32,1.321,5.366,1,1,0,0,0,42.6,12.6,25.0,100.0,120,TOWER_WAGON_1,1,0.786,NORMAL,HIGH,D:poisson_from_periodicity
