job_id,dept,activity,section_id,km_from,km_to,needs_T,needs_P,needs_D,needs_train_movements,needs_live_ohe,dur_mean_min,dur_sd_min,resources,due_day,criticality
J01,ENGG,THROUGH_TAMPING,S1,10.0,14.0,1,0,0,0,0,65,12,TAMPER_1,12,1.4
J02,SNT,POINT_MACHINE_OVERHAUL,S1,12.4,12.6,1,0,1,0,0,45,10,SNT_GANG_A,9,1.8
J03,ENGG,DEEP_SCREENING,S1,15.0,16.0,1,0,0,0,0,150,30,BCM_1,20,1.0
J04,TRD,INSULATOR_REPLACEMENT,S1,11.0,11.2,1,1,0,0,0,40,9,TOWER_WAGON_1,15,1.3
J05,SNT,TRACK_CIRCUIT_CABLE,S1,13.0,13.4,1,0,1,0,0,35,8,SNT_GANG_B,18,1.1
J06,ENGG,TURNOUT_TAMPING,S2U,3.0,3.4,1,0,0,0,0,55,14,TAMPER_1,7,1.6
J07,TRD,OHE_DROPPER,S2U,4.0,4.2,1,1,0,0,0,30,7,TOWER_WAGON_1,14,1.2
J08,SNT,SIGNAL_WIRING_ALTERATION,S2D,5.0,5.2,1,0,1,0,0,50,11,SNT_GANG_A,11,1.5
J09,ENGG,RAIL_RENEWAL,S2D,6.0,6.3,1,0,0,0,0,80,18,PQRS_1,16,1.7
J10,TRD,OHE_PATROL_REPAIR,S2D,7.0,7.2,1,1,0,0,0,35,8,TOWER_WAGON_2,13,1.0
J11,SNT,TRACK_CIRCUIT_SHUNT_CHECK,S1,13.0,13.2,0,0,0,1,0,25,6,,10,0.9
J12,TRD,OHE_MEASUREMENT_UNDER_LOAD,S2U,4.0,4.4,0,0,0,0,1,30,7,,17,0.8
