train_id,section_id,sched_min,hhmm,class,days_mask
12621,S1,370,06:10,EXPRESS,127
56312,S1,385,06:25,FREIGHT,127
22671,S1,410,06:50,PASSENGER,127
12627,S1,435,07:15,EXPRESS,127
41023,S1,460,07:40,FREIGHT,127
16302,S1,485,08:05,EXPRESS,127
66301,S1,500,08:20,MEMU,127
12695,S1,710,11:50,EXPRESS,127
57415,S1,860,14:20,PASSENGER,127
59001,S1,125,02:05,FREIGHT,127
20643,S2U,345,05:45,VANDE_BHARAT,127
12841,S2U,420,07:00,EXPRESS,127
66512,S2U,465,07:45,MEMU,127
58011,S2U,630,10:30,PASSENGER,127
40221,S2U,810,13:30,FREIGHT,127
12842,S2D,400,06:40,EXPRESS,127
66513,S2D,490,08:10,MEMU,127
40222,S2D,840,14:00,FREIGHT,127
